produto;marca;loja;data;qtd;valor
celular;LG;Cidade São Paulo;2025-1-1;35;1064.81
notebook;Hitachi;Eldorado;2025-1-1;17;3065.44
celular;Hitachi;Cidade São Paulo;2025-1-1;29;9953.39
lavadora;Motorola;Cidade São Paulo;2025-1-1;21;8374.25
smart tv;Motorola;Cidade São Paulo;2025-1-1;41;3453.66
smart tv;Acer;Eldorado;2025-1-1;25;8537.54
smart tv;Motorola;Cidade São Paulo;2025-1-1;49;4946.61
lavadora;LG;Eldorado;2025-1-1;27;2023.30
smart tv;HP;Paulista;2025-1-1;24;7859.81
lavadora;HP;Paulista;2025-1-1;14;3474.06
celular;Hitachi;Cidade São Paulo;2025-1-1;48;4359.08
smart tv;LG;Paulista;2025-1-1;37;9735.48
lavadora;Acer;Eldorado;2025-1-1;18;7090.10
geladeira;Motorola;Cidade São Paulo;2025-1-1;48;9780.40
smart tv;Midea;Cidade São Paulo;2025-1-1;46;9405.97
geladeira;Acer;Eldorado;2025-1-1;5;9986.16
smart tv;Midea;Eldorado;2025-1-1;49;3819.01
geladeira;Motorola;Paulista;2025-1-1;50;9838.66
ar condicionado;Motorola;Cidade São Paulo;2025-1-1;43;8607.08
smart tv;Acer;Eldorado;2025-1-1;47;4091.92
celular;LG;Eldorado;2025-1-2;8;1023.20
notebook;Acer;Paulista;2025-1-2;32;2364.10
lavadora;Hitachi;Cidade São Paulo;2025-1-2;24;3108.70
ar condicionado;Midea;Cidade São Paulo;2025-1-2;24;8642.19
smart tv;Acer;Cidade São Paulo;2025-1-2;6;2345.21
geladeira;Samsung;Cidade São Paulo;2025-1-2;20;1797.68
geladeira;Midea;Cidade São Paulo;2025-1-2;6;4196.68
ar condicionado;Hitachi;Paulista;2025-1-2;38;1101.04
geladeira;Motorola;Paulista;2025-1-2;5;5448.31
smart tv;Midea;Eldorado;2025-1-2;8;4160.30
geladeira;Samsung;Paulista;2025-1-2;32;3995.86
ar condicionado;Acer;Cidade São Paulo;2025-1-2;6;5058.57
notebook;LG;Eldorado;2025-1-2;49;6328.01
celular;HP;Eldorado;2025-1-2;19;8676.57
